selected_value,w_efficiency,w_fairness,w_exploration,reversibility_loss_total,energy
efficiency,0.985,1.0,1.0,0.1,99.0
fairness,0.985,0.995,1.0,0.1,98.0
efficiency,0.97,0.995,1.0,0.1,97.0
fairness,0.97,1.0,1.0,0.1,96.0
exploration,0.97,1.0,0.995,0.1,95.0
fairness,0.97,0.995,0.995,0.1,94.0
fairness,0.97,0.99,0.995,0.1,93.0
efficiency,0.955,0.99,0.995,0.1,92.0
exploration,0.955,0.99,1.045,0.1,100.0
efficiency,0.9299999999999999,0.99,1.045,0.1,99.0
efficiency,0.9349999999999999,0.99,1.045,0.1,98.0
exploration,0.9349999999999999,0.99,1.03,0.1,97.0
efficiency,0.94,0.99,1.03,0.1,96.0
efficiency,0.9349999999999999,0.99,1.03,0.1,95.0
fairness,0.9349999999999999,0.975,1.03,0.1,94.0
efficiency,0.9299999999999999,0.975,1.03,0.1,93.0
fairness,0.9299999999999999,0.98,1.03,0.1,92.0
exploration,0.9299999999999999,0.98,1.0250000000000001,0.1,91.0
exploration,0.9299999999999999,0.98,1.08,0.1,100.0
fairness,0.9299999999999999,0.965,1.08,0.1,99.0
exploration,0.9299999999999999,0.965,1.0650000000000002,0.1,99.0
efficiency,0.9249999999999999,0.965,1.0650000000000002,0.1,98.0
fairness,0.9249999999999999,0.96,1.0650000000000002,0.1,97.0
exploration,0.9249999999999999,0.96,1.0500000000000003,0.1,96.0
efficiency,0.9299999999999999,0.96,1.0500000000000003,0.1,95.0
efficiency,0.9149999999999999,0.96,1.0500000000000003,0.1,94.0
fairness,0.9149999999999999,0.965,1.0500000000000003,0.1,93.0
fairness,0.9149999999999999,0.95,1.0500000000000003,0.1,92.0
exploration,0.9149999999999999,0.95,1.0450000000000004,0.1,91.0
fairness,0.9149999999999999,0.945,1.0450000000000004,0.1,90.0
exploration,0.9149999999999999,0.945,1.0500000000000003,0.1,89.0
efficiency,0.8899999999999999,0.945,1.0500000000000003,0.1,88.0
fairness,0.8899999999999999,0.96,1.0500000000000003,0.1,87.0
fairness,0.8899999999999999,0.945,1.0500000000000003,0.1,86.0
efficiency,0.8649999999999999,0.945,1.0500000000000003,0.1,85.0
efficiency,0.8699999999999999,0.945,1.0500000000000003,0.1,84.0
efficiency,0.8749999999999999,0.945,1.0500000000000003,0.1,83.0
exploration,0.8749999999999999,0.945,1.0450000000000004,0.1,82.0
efficiency,0.8499999999999999,0.945,1.0450000000000004,0.1,81.0
efficiency,0.8549999999999999,0.945,1.0450000000000004,0.1,80.0
efficiency,0.8399999999999999,0.945,1.0450000000000004,0.1,99.0
fairness,0.8399999999999999,0.94,1.0450000000000004,0.1,98.0
fairness,0.8399999999999999,0.9349999999999999,1.0450000000000004,0.1,97.0
efficiency,0.8249999999999998,0.9349999999999999,1.0450000000000004,0.1,96.0
efficiency,0.8199999999999998,0.9349999999999999,1.0450000000000004,0.1,95.0
exploration,0.8199999999999998,0.9349999999999999,1.0500000000000003,0.1,94.0
exploration,0.8199999999999998,0.9349999999999999,1.0350000000000004,0.1,93.0
fairness,0.8199999999999998,0.9299999999999999,1.0350000000000004,0.1,92.0
exploration,0.8199999999999998,0.9299999999999999,1.0300000000000005,0.1,91.0
fairness,0.8199999999999998,0.9349999999999999,1.0300000000000005,0.1,90.0
efficiency,0.7949999999999998,0.9349999999999999,1.0300000000000005,0.1,89.0
fairness,0.7949999999999998,0.95,1.0300000000000005,0.1,88.0
